"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Cotopaxi - Latacunga - Eloy Alfaro (San Felipe)";31;41,65;0,71;0,29;0,52;0,16;0,32;"Operativos de Transito SemiConstantes"
"Cotopaxi - Latacunga - Ignacio Flores (Parque Flores)";15;47,53;0,87;0,13;0,27;0,2;0,53;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Juan Montalvo (San Sebastian)";2;31;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - La Matriz";41;47,39;0,71;0,29;0,24;0,41;0,34;"Operativos de Transito SemiConstantes"
"Cotopaxi - Latacunga - San Buenaventura";2;57,5;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Latacunga Cabecera Cantonal";4;53,5;0,75;0,25;0,75;0;0,25;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Alaques (Alaquez)";3;19,33;0,67;0,33;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Belisario Quevedo(Guanailin)";5;34;0,8;0,2;0,2;0;0,8;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Guaitacama (Guaytacama)";13;38,69;0,62;0,38;0,46;0,08;0,46;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Mulalo";5;40,2;0,6;0,4;0;0,2;0,8;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - 11 De Noviembre (Ilinchisi)";3;44,67;0,33;0,67;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Poalo";1;58;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - San Juan De Pastocalle";24;32,75;0,92;0,08;0,29;0,46;0,25;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Tanicuchi";23;32,04;0,7;0,3;0,26;0,3;0,43;"Operativos Regulares frecuentes"
"Cotopaxi - Latacunga - Toacaso";3;36,33;0,67;0,33;0;0,67;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - El Carmen";3;52,67;1;0;0;0;1;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - La Mana";13;49,54;0,92;0,08;0,54;0;0,46;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - El Triunfo";1;62;1;0;0;0;1;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - La Mana";15;36,93;0,73;0,27;0,13;0,8;0,07;"Operativos Regulares frecuentes"
"Cotopaxi - La Mana - Guasaganda (Cab. En Guasaganda Centro)";1;22;1;0;0;1;0;"Operativos Regulares frecuentes"
"Cotopaxi - Pangua - El Corazon Cabecera Cantonal";1;7;1;0;1;0;0;"Operativos Regulares frecuentes"
"Cotopaxi - Pangua - Moraspungo";7;29,57;1;0;0,43;0;0,57;"Operativos Regulares frecuentes"
"Cotopaxi - Pangua - Ramon Campana";1;1;0;1;1;0;0;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Pujili";13;42,54;0,62;0,38;0,23;0,38;0,38;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Angamarca";4;42;0,75;0,25;0,5;0;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Guancaje";6;43,83;1;0;0,33;0,17;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Tingo";9;37,89;0,56;0,44;0,44;0,22;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Tingo";6;49,17;0,67;0,33;0,33;0;0,67;"Operativos Regulares frecuentes"
"Cotopaxi - Pujili - Zumbahua";9;39,78;0,44;0,56;0,22;0,44;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - San Miguel";21;40,1;0,86;0,14;0,38;0,29;0,33;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Antonio Jose Holguin (Santa Lucia)";6;35,83;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Cusubamba";2;46;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Mulalillo";4;58;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Salcedo - Pansaleo";3;23;1;0;0,33;0;0,67;"Operativos Regulares frecuentes"
"Cotopaxi - Saquisili - Saquisili";8;41,5;0,75;0,25;0,25;0,62;0,12;"Operativos Regulares frecuentes"
"Cotopaxi - Saquisili - Canchagua";2;35;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Cotopaxi - Saquisili - Cochapamba";1;1;1;0;1;0;0;"Operativos Regulares frecuentes"
"Cotopaxi - Sigchos - Sigchos";5;53,8;0,8;0,2;0,2;0,2;0,6;"Operativos Regulares frecuentes"
"Cotopaxi - Sigchos - Chugchillan (Chugchilan)";5;25,2;0,6;0,4;0;0,4;0,6;"Operativos Regulares frecuentes"
"Cotopaxi - Sigchos - Isinlivi";1;75;0;1;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Lizarzaburu";44;41,45;0,77;0,23;0,45;0,3;0,23;"Operativos de Transito SemiConstantes"
"Chimborazo - Riobamba - Maldonado";9;39,78;0,89;0,11;0,11;0,33;0,56;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Velasco";10;38,3;0,9;0,1;0,4;0,3;0,3;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Veloz";53;43,23;0,72;0,28;0,42;0,26;0,32;"Operativos de Transito SemiConstantes"
"Chimborazo - Riobamba - Yaruquies";1;28;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Riobamba";1;23;0;1;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Calpi";10;41,4;0,6;0,4;0,5;0,4;0,1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Cubijies";2;32;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Flores";2;30;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Lican";8;31;0,88;0,12;0,75;0,25;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Licto";4;20,5;0,5;0,5;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Punin";1;84;1;0;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Quimiag";3;50;0,67;0,33;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - San Juan";1;23;1;0;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - San Luis";8;43,25;0,75;0,25;0,12;0,38;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Alausi";13;50,46;0,62;0,38;0,54;0,08;0,38;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Achupallas";8;37,12;0,62;0,38;0;0,38;0,62;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Guasuntos";5;69,2;0,2;0,8;0;0,2;0,8;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Huigra";1;19;1;0;1;0;0;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Multitud";1;38;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Pistishi(Nariz del Diablo)";1;3;1;0;1;0;0;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Tixan";5;38;0,8;0,2;0,2;0,6;0,2;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Cajabamba";11;30,45;0,82;0,18;0,36;0;0,64;"Operativos Regulares frecuentes"
