"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Canar - Canar - Ducur";5;36;0,8;0,2;0,4;0;0,6;"Operativos Regulares frecuentes"
"Canar - La Troncal - La Troncal";47;37;0,85;0,15;0,3;0,36;0,32;"Operativos Regulares frecuentes"
"Canar - La Troncal - Manuel J. Calle";5;36;1;0;0,6;0,2;0,2;"Operativos Regulares frecuentes"
"Canar - La Troncal - Pancho Negro";5;34;1;0;0,6;0,4;0;"Operativos Regulares frecuentes"
"Canar - El Tambo - El Tambo";13;52;0,62;0,38;0,23;0,54;0,23;"Operativos Regulares frecuentes"
"Canar - El Deleg - Solano";1;18;0;1;1;0;0;"Operativos Regulares frecuentes"
"Canar - Suscal - Suscal";7;24;0,43;0,57;0;1;0;"Operativos Regulares frecuentes"
"Carchi - Tulcan - Gonzalez Suarez";10;35;0,9;0,1;0,5;0,1;0,4;"Operativos Regulares frecuentes"
"Canar - Tulcan - Tulcan";7;62;0,86;0,14;0,43;0;0,57;"Operativos Regulares frecuentes"
"Carchi - Tulcan - Tulcan";9;27;0,56;0,44;0,11;0,78;0,11;"Operativos Regulares frecuentes"
"Carchi - Tulcan - El Carmelo (El Pun)";1;49;1;0;0;1;0;"Operativos Regulares frecuentes"
"Carchi - Tulcan - Julio Andrade (Orejuela)";6;48;0,83;0,17;0,5;0,33;0,17;"Operativos Regulares frecuentes"
"Canar - Tulcan - Maldonado";2;22;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Tulcan - Tufino";1;46;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Tulcan - El Chical";1;21;1;0;1;0;0;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Bolivar";18;44;0,67;0,33;0,11;0,17;0,72;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Garcia Moreno";1;17;1;0;1;0;0;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Los Andes";2;38;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Monte Olivo";2;62;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Carchi - Bolivar - San Rafael";1;68;1;0;0;1;0;"Operativos Regulares frecuentes"
"Carchi - Espejo - El Angel";2;21;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
